date,iso_code,indicator,indicator_code,value
2021-01-01,ABW,SP.POP.TOTL,SP.POP.TOTL,107195.0
2021-01-01,AFE,SP.POP.TOTL,SP.POP.TOTL,694665117.0
2021-01-01,AFG,SP.POP.TOTL,SP.POP.TOTL,39835428.0
2021-01-01,AFW,SP.POP.TOTL,SP.POP.TOTL,470898870.0
2021-01-01,AGO,SP.POP.TOTL,SP.POP.TOTL,33933611.0
2021-01-01,ALB,SP.POP.TOTL,SP.POP.TOTL,2811666.0
2021-01-01,AND,SP.POP.TOTL,SP.POP.TOTL,77354.0
2021-01-01,ARB,SP.POP.TOTL,SP.POP.TOTL,444517783.0
2021-01-01,ARE,SP.POP.TOTL,SP.POP.TOTL,9991083.0
2021-01-01,ARG,SP.POP.TOTL,SP.POP.TOTL,45808747.0
2021-01-01,ARM,SP.POP.TOTL,SP.POP.TOTL,2968128.0
2021-01-01,ASM,SP.POP.TOTL,SP.POP.TOTL,55103.0
2021-01-01,ATG,SP.POP.TOTL,SP.POP.TOTL,98728.0
2021-01-01,AUS,SP.POP.TOTL,SP.POP.TOTL,25739256.0
2021-01-01,AUT,SP.POP.TOTL,SP.POP.TOTL,8956279.0
2021-01-01,AZE,SP.POP.TOTL,SP.POP.TOTL,10145212.0
2021-01-01,BDI,SP.POP.TOTL,SP.POP.TOTL,12255429.0
2021-01-01,BEL,SP.POP.TOTL,SP.POP.TOTL,11587882.0
2021-01-01,BEN,SP.POP.TOTL,SP.POP.TOTL,12451031.0
2021-01-01,BFA,SP.POP.TOTL,SP.POP.TOTL,21497097.0
2021-01-01,BGD,SP.POP.TOTL,SP.POP.TOTL,166303494.0
2021-01-01,BGR,SP.POP.TOTL,SP.POP.TOTL,6899125.0
2021-01-01,BHR,SP.POP.TOTL,SP.POP.TOTL,1748295.0
2021-01-01,BHS,SP.POP.TOTL,SP.POP.TOTL,396914.0
2021-01-01,BIH,SP.POP.TOTL,SP.POP.TOTL,3263459.0
2021-01-01,BLR,SP.POP.TOTL,SP.POP.TOTL,9340314.0
2021-01-01,BLZ,SP.POP.TOTL,SP.POP.TOTL,404915.0
2021-01-01,BMU,SP.POP.TOTL,SP.POP.TOTL,63867.0
2021-01-01,BOL,SP.POP.TOTL,SP.POP.TOTL,11832936.0
2021-01-01,BRA,SP.POP.TOTL,SP.POP.TOTL,213993441.0
2021-01-01,BRB,SP.POP.TOTL,SP.POP.TOTL,287708.0
2021-01-01,BRN,SP.POP.TOTL,SP.POP.TOTL,441532.0
2021-01-01,BTN,SP.POP.TOTL,SP.POP.TOTL,779900.0
2021-01-01,BWA,SP.POP.TOTL,SP.POP.TOTL,2397240.0
