metric,metric_long,metric_short,metric_info,metric_unit,min,max,shown
useable,Useable equity,Useable,Money in the bank,money,25,100,50.481
uncalled,Callable capital,Callable,Promised money in case of emergency,money,150,550,286.326
loans,Lending,Lending,Money owed to the bank,money,100,1000,229.344
el_ratio,Useable equity-to-loans ratio,E/L,Usable capital compared to lending,percent,10,150,22
gearing_ratio,Loans to current lending limit,Loans/Lend,Lending compared to total capital,percent,30,150,68.09
