year,loans_exposure,usable_equity,ratio
2022-06-30,229344.0,50481.0,22.0
2021-06-30,220564.0,46020.0,20.9
2020-06-30,204231.0,44918.0,22.0
2019-06-30,194787.0,43427.0,22.3
2018-06-30,185589.0,42334.0,22.8
2017-06-30,179455.0,41685.0,23.2
2016-06-30,169655.0,40736.0,24.0
2015-06-30,157012.0,40560.0,25.8
2014-06-30,154021.0,41006.0,26.6
2013-06-30,143776.0,40268.0,28.0
2012-06-30,136325.0,39561.0,29.0
2011-06-30,132459.0,38126.0,28.8
2010-06-30,120103.0,37957.0,31.6
2009-06-30,105698.0,34687.0,32.8
2008-06-30,99050.0,36606.0,37.0
2007-06-30,97805.0,35883.0,36.7
2006-06-30,103004.0,34957.0,33.9
2005-06-30,104401.0,31641.0,30.3
2004-06-30,109610.0,34956.0,31.9
2003-06-30,116240.0,29875.0,25.7
2002-06-30,121589.0,27388.0,22.5
2001-06-30,118866.0,26053.0,21.9
2000-06-30,120104.0,25252.0,21.0
1999-06-30,117228.0,24382.0,20.8
1998-06-30,106576.0,23406.0,22.0
1997-06-30,105805.0,22922.0,21.7
1996-06-30,110246.0,22839.0,20.7
1995-06-30,123499.0,22858.0,18.5
1994-06-30,109291.0,21780.0,19.9
1993-06-30,104451.0,19489.0,18.7
1992-06-30,100810.0,19389.0,19.2
1991-06-30,90638.0,17834.0,19.7
1990-06-30,89052.43,16865.62,18.9
1989-06-30,77941.85,15388.19,19.7
1988-06-30,81791.37,13842.35,16.9
1987-06-30,75791.65,12301.09,16.2
1986-06-30,61063.54,10515.4,17.2
1985-06-30,41382.08,8670.550000000001,21.0
1984-06-30,37840.39,8136.76,21.5
1983-06-30,33747.4,7386.61,21.9
1982-06-30,29167.54,6602.93,22.6
1981-06-30,25957.81,5998.66,23.1
1980-06-30,26693.6,6028.139999999999,22.6
1979-06-30,22833.35,5376.17,23.5
1978-06-30,19303.67,4803.54,24.9
1977-06-30,15695.36,4390.59,28.0
1976-06-30,13503.01,4388.639999999999,32.5
1975-06-30,12164.09,2913.52,24.0
1974-06-30,10443.95,2847.9,27.3
1973-06-30,9615.52,2786.6400000000003,29.0
1972-06-30,7842.6,2539.23,32.4
1971-06-30,6577.17,2294.21,34.9
1970-06-30,5950.22,2256.6800000000003,37.9
1969-06-30,5582.06,2218.5099999999998,39.7
1968-06-30,5179.23,2214.49,42.8
1967-06-30,4733.27,2202.21,46.5
1966-06-30,4205.38,2169.0699999999997,51.6
1965-06-30,3788.87,2132.2,56.3
1964-06-30,3431.73,2087.9500000000003,60.8
1963-06-30,3160.53,2024.92,64.1
1962-06-30,2932.66,1945.5400000000002,66.3
1961-06-30,2883.51,1861.6999999999998,64.6
1960-06-30,2759.63,1744.9299999999998,63.2
